state,total_schools,primary_schools,secondary_schools,total_students,total_teachers,students_per_teacher
SARAWAK,1458,1265,193,434811,40538,10.73
SABAH,1296,1074,222,489691,42357,11.56
JOHOR,1189,907,282,575350,48537,11.85
PERAK,1102,852,250,363375,38199,9.51
SELANGOR,940,662,278,900834,61220,14.71
KEDAH,750,548,202,333741,31030,10.76
PAHANG,741,543,198,248215,25636,9.68
KELANTAN,595,418,177,285910,29301,9.76
TERENGGANU,504,352,152,225924,22423,10.08
NEGERI SEMBILAN,476,351,125,188905,17489,10.8
PULAU PINANG,399,271,128,232333,19861,11.7
MELAKA,315,238,77,147967,13935,10.62
WILAYAH PERSEKUTUAN KUALA LUMPUR,295,191,104,218641,17079,12.8
PERLIS,104,74,30,42787,4738,9.03
WILAYAH PERSEKUTUAN LABUAN,27,17,10,15974,1367,11.69
WILAYAH PERSEKUTUAN PUTRAJAYA,27,16,11,29589,2130,13.89
